text,command
лапу,give_paw
дай лапу,give_paw
покажи лапу,give_paw
лапу дай,give_paw
робот лапу,give_paw
дай лапу сейчас,give_paw
покажи лапу мне,give_paw
панда лапу,give_paw
панда дай лапу,give_paw
робот покажи лапу,give_paw
дай лапу панда,give_paw
лапу робот,give_paw
пожалуйста дай лапу,give_paw
дай лапу пожалуйста,give_paw
давай лапу,give_paw
ну-ка лапу,give_paw
а ну лапу дай,give_paw
эй лапу,give_paw
лапу покажи,give_paw
ты дай лапу,give_paw
быстро лапу,give_paw
панда давай лапу,give_paw
робот пожалуйста лапу,give_paw
дай лапу быстро,give_paw
ну лапу дай,give_paw
а теперь дай лапу,give_paw
дать лапу,give_paw
надо дать лапу,give_paw
нужно дать лапу,give_paw
дайте лапу,give_paw
покажите лапу,give_paw
дал бы лапу,give_paw
лапу дашь,give_paw
покажешь лапу,give_paw
пора дать лапу,give_paw
можно лапу,give_paw
равняйсь,stand_at_attention
равняйся,stand_at_attention
равняйтесь,stand_at_attention
равняться,stand_at_attention
выравняйся,stand_at_attention
выравняйтесь,stand_at_attention
выравняться,stand_at_attention
выровняйся,stand_at_attention
выровняйтесь,stand_at_attention
выровняться,stand_at_attention
равняйсь робот,stand_at_attention
равняйся сейчас,stand_at_attention
панда равняйся,stand_at_attention
робот равняйсь,stand_at_attention
пожалуйста равняйся,stand_at_attention
равняйся пожалуйста,stand_at_attention
давай равняйся,stand_at_attention
а ну равняйсь,stand_at_attention
ты равняйся,stand_at_attention
равняйся быстро,stand_at_attention
ну равняйся,stand_at_attention
надо равняться,stand_at_attention
нужно равняться,stand_at_attention
пора равняться,stand_at_attention
надо выравняться,stand_at_attention
нужно выравняться,stand_at_attention
пора выравняться,stand_at_attention
выравнялся бы,stand_at_attention
равнялся бы,stand_at_attention
выравняешься,stand_at_attention
робот выравняйся,stand_at_attention
панда выровняйся,stand_at_attention
быстро равняйся,stand_at_attention
ну-ка равняйся,stand_at_attention
эй равняйся,stand_at_attention
давай выравняйся,stand_at_attention
панда давай равняйся,stand_at_attention
робот пожалуйста равняйся,stand_at_attention
можно равняться,stand_at_attention
отставить,dismiss
вставай,dismiss
отбой,dismiss
прекратить,dismiss
остановись,dismiss
стоп,dismiss
хватит,dismiss
закончи,dismiss
отставить все,dismiss
робот отставить,dismiss
вставай робот,dismiss
отставить выполнение,dismiss
прекрати выполнение,dismiss
остановись сейчас,dismiss
панда отставить,dismiss
панда стоп,dismiss
