text,command
лапу,give_paw
дай лапу,give_paw
дать лапу,give_paw
давать лапу,give_paw
дайте лапу,give_paw
давайте лапу,give_paw
даешь лапу,give_paw
дашь лапу,give_paw
дадите лапу,give_paw
дал бы лапу,give_paw
дала бы лапу,give_paw
дали бы лапу,give_paw
а ну быстро дал лапу,give_paw
а ну дал лапу,give_paw
покажи лапу,give_paw
показать лапу,give_paw
показывать лапу,give_paw
покажите лапу,give_paw
показываете лапу,give_paw
покажешь лапу,give_paw
показал бы лапу,give_paw
показала бы лапу,give_paw
подними лапу,give_paw
поднять лапу,give_paw
поднимать лапу,give_paw
поднимите лапу,give_paw
поднимаете лапу,give_paw
поднимешь лапу,give_paw
поднял бы лапу,give_paw
подняла бы лапу,give_paw
надо дать лапу,give_paw
нужно дать лапу,give_paw
пора дать лапу,give_paw
можно дать лапу,give_paw
давай дай лапу,give_paw
надо показать лапу,give_paw
нужно показать лапу,give_paw
пора показать лапу,give_paw
можно показать лапу,give_paw
надо поднять лапу,give_paw
нужно поднять лапу,give_paw
попроси робота дать лапу,give_paw
попроси панду дать лапу,give_paw
скажи роботу дать лапу,give_paw
скажи панде дать лапу,give_paw
пусть робот даст лапу,give_paw
пусть панда даст лапу,give_paw
пусть робот покажет лапу,give_paw
пусть панда покажет лапу,give_paw
пусть робот поднимет лапу,give_paw
пусть панда поднимет лапу,give_paw
хочу чтобы робот дал лапу,give_paw
хочу чтобы панда дала лапу,give_paw
хотел бы чтобы робот дал лапу,give_paw
хотела бы чтобы панда дала лапу,give_paw
может дашь лапу,give_paw
может покажешь лапу,give_paw
не хочешь дать лапу,give_paw
дай-ка лапу,give_paw
покажи-ка лапу,give_paw
подними-ка лапу,give_paw
ну-ка дай лапу,give_paw
ну-ка покажи лапу,give_paw
а ну дай лапу,give_paw
эй дай лапу,give_paw
ты дай лапу,give_paw
робот дай лапу,give_paw
панда дай лапу,give_paw
робот покажи лапу,give_paw
панда покажи лапу,give_paw
дай лапу робот,give_paw
дай лапу панда,give_paw
покажи лапу робот,give_paw
покажи лапу панда,give_paw
пожалуйста дай лапу,give_paw
дай лапу пожалуйста,give_paw
быстро дай лапу,give_paw
дай лапу быстро,give_paw
сейчас дай лапу,give_paw
дай лапу сейчас,give_paw
лапу дай,give_paw
лапу покажи,give_paw
лапу подними,give_paw
робот лапу,give_paw
панда лапу,give_paw
лапу робот,give_paw
лапу панда,give_paw
давай лапу,give_paw
