text,command
привет,unknown
как дела,unknown
что происходит,unknown
сегодня хорошая погода,unknown
робот ты здесь,unknown
сколько времени,unknown
расскажи анекдот,unknown
пока,unknown
как тебя зовут,unknown
что ты умеешь,unknown
расскажи о себе,unknown
какая погода,unknown
что на ужин,unknown
включи музыку,unknown
выключи свет,unknown
открой дверь,unknown
закрой окно,unknown
принеси мне воды,unknown
где ты находишься,unknown
как дела на работе,unknown
что нового,unknown
как настроение,unknown
давай посмотрим фильм,unknown
поиграем в игру,unknown
что ты думаешь,unknown
расскажи историю,unknown
спой песню,unknown
танцуй,unknown
покажи фокус,unknown
не лежать,unknown
не ложись,unknown
не беги,unknown
не давай лапу,unknown
не вращайся,unknown
не кувырок,unknown
не равняйся,unknown
не отставить,unknown
не держи джойстик,unknown
не останавливайся,unknown
может лежать,unknown
может беги,unknown
может лапу дай,unknown
может кувырок,unknown
может равняйся,unknown
можно лежать,unknown
можно лапу,unknown
можно беги,unknown
лежать нельзя,unknown
лапу не показывай,unknown
беги потом,unknown
давай не будем лежать,unknown
не надо лежать,unknown
не хочу чтобы ты лежал,unknown
лежать не нужно,unknown
зачем лежать,unknown
почему лежать,unknown
когда лежать,unknown
ты лежал,unknown
ты бегал,unknown
ты давал лапу,unknown
лежать хорошо,unknown
беги плохо,unknown
лапу красиво,unknown
кувырок весело,unknown
робот лежит,unknown
панда бежит,unknown
он дает лапу,unknown
она вращается,unknown
лежать будешь,unknown
беги завтра,unknown
лапу потом дай,unknown
кувырок вчера,unknown
я хочу чтобы ты лежал,unknown
мне нравится когда ты бежишь,unknown
лежать это команда,unknown
беги это приказ,unknown
что значит лежать,unknown
как лежать,unknown
зачем давать лапу,unknown
почему вращаться,unknown
лежать или бежать,unknown
лапу или кувырок,unknown
давай поговорим,unknown
расскажи про себя,unknown
что ты делаешь,unknown
куда ты идешь,unknown
откуда ты,unknown
сколько тебе лет,unknown
ты устал,unknown
ты голодный,unknown
ты спишь,unknown
ты работаешь,unknown
панда милая,unknown
робот классный,unknown
ты умный,unknown
ты быстрый,unknown
ты сильный,unknown
мне нравится панда,unknown
робот хороший,unknown
отличная панда,unknown
супер робот,unknown
молодец панда,unknown
хорошо робот,unknown
спасибо панда,unknown
спасибо робот,unknown
спасибо тебе,unknown
благодарю,unknown
отлично,unknown
супер,unknown
класс,unknown
круто,unknown
ничего,unknown
ладно,unknown
хорошо,unknown
понятно,unknown
ясно,unknown
согласен,unknown
да,unknown
нет,unknown
может быть,unknown
не знаю,unknown
посмотрим,unknown
увидим,unknown
подумаю,unknown
наверное,unknown
конечно,unknown
точно,unknown
правда,unknown
серьезно,unknown
шутишь,unknown
обманываешь,unknown
лапа,unknown
лапы,unknown
лапой,unknown
лапах,unknown
лапами,unknown
беги сюда,unknown
беги туда,unknown
беги домой,unknown
беги в школу,unknown
лежать можно,unknown
лежать нельзя здесь,unknown
дай мне,unknown
дай ему,unknown
покажи мне,unknown
покажи ему,unknown
стой здесь,unknown
стой там,unknown
остановись здесь,unknown
остановись там,unknown
вращайся там,unknown
кувыркайся здесь,unknown
робот и панда,unknown
панда или робот,unknown
робот с пандой,unknown
панда без робота,unknown
лежать и бегать,unknown
лапу и кувырок,unknown
равняться или отставить,unknown
джойстик и контроллер,unknown
это панда,unknown
это робот,unknown
это лапа,unknown
это кувырок,unknown
вот панда,unknown
вот робот,unknown
смотри панда,unknown
смотри робот,unknown
слушай панда,unknown
слушай робот,unknown
эй панда привет,unknown
эй робот привет,unknown
ну панда как дела,unknown
ну робот что там,unknown
панда ты где,unknown
робот ты кто,unknown
панда скажи,unknown
робот ответь,unknown
панда помоги,unknown
робот помоги,unknown
давай панда поговорим,unknown
давай робот пообщаемся,unknown
а панда лежать,unknown
а робот беги,unknown
ну лапу панда,unknown
ну кувырок робот,unknown
